Latitude,Longitude
37.0362,-121.8798
37.2382,-121.9445
36.988,-121.7413
37.0702,-121.894
37.076,-121.925
37.1577,-121.961
37.0333,-121.7245
37.1662,-121.986
37.176,-121.9782
37.1748,-122.0335
37.0057,-121.7867
37.1613,-122.0005
37.1835,-121.9632
37.1682,-121.994
37.0982,-121.9097
37.1352,-122.0075
37.201,-121.991
37.1417,-122.0525
37.1612,-121.8715
37.163,-121.9817
37.1695,-121.9803
37.0728,-121.8682
37.095,-121.8848
37.0395,-121.8342
36.9437,-121.6783
37.0443,-121.7622
37.191,-122.0335
37.0523,-121.7798
37.12,-121.8927
36.9565,-121.7133
37.1255,-121.9558
37.1193,-121.986
37.1398,-122.0035
37.179,-121.964
37.1372,-121.9835
37.1935,-122.0425
37.101,-121.8697
37.0013,-121.7652
37.0668,-121.9062
37.1685,-121.9882
37.1538,-121.9653
37.1908,-121.9727
37.1902,-122.052
37.1585,-121.9575
37.1158,-121.9148
36.951,-121.6788
37.0703,-121.8682
36.8392,-121.5323
37.1638,-121.9865
36.8352,-121.5383
37.2012,-122.0568
37.1655,-122.0142
37.1947,-122.0558
37.1822,-121.9888
37.1192,-121.9965
37.0957,-121.9303
37.0983,-121.996
36.9883,-121.727
36.957,-121.6417
37.1645,-121.965
37.1912,-121.9852
37.159,-121.9775
37.122,-121.9743
37.0188,-121.9128
37.1083,-121.8465
36.9637,-121.7228
37.1857,-122.006
36.554,-89.605
37.1735,-121.9982
37.1143,-121.968
37.1142,-121.8412
37.1362,-121.9917
37.0963,-121.855
36.9798,-121.704
37.1943,-122.0433
37.092,-121.7392
37.0918,-121.908
37.0588,-121.8113
37.1025,-121.9062
37.0797,-121.8965
37.178,-121.982
36.9677,-121.6977
36.9847,-121.7343
37.1485,-122.0065
37.156,-121.9573
37.179,-121.9855
37.182,-121.9862
36.9682,-121.7282
37.185,-122.051
37.1757,-122.0238
36.999,-121.6603
37.139,-121.9165
37.1245,-121.9878
37.1398,-121.9672
