handicapped-infants,water-project-cost-sharing,physician-fee-freeze,Class
'n','y','y','republican'
,'y',,'democrat'
'n','y','n','democrat'
'y','y','n','democrat'
'n','y','n','democrat'
'n','y','y','democrat'
'n','y','y','republican'
'n','y','y','republican'
'y','y','n','democrat'
'n','y','y','republican'
'n','y','y','republican'
'n','y','n','democrat'
'y','y','n','democrat'
'n','y','y','republican'
'n','y','y','republican'
'y','n','n','democrat'
'y',,'n','democrat'
'n','y','y','republican'
'y','y','n','democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'y',,'n','democrat'
'y','y','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'y','n','y','republican'
'y','y','n','democrat'
'n','y','y','republican'
'y','y','n','democrat'
'y','y','n','democrat'
'n','y','y','republican'
'y','y','n','democrat'
'n','y','y','republican'
'y',,'y','republican'
'y','y','y','republican'
'n','y','y','republican'
'y','n','n','democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'n',,'y','republican'
'y','y','n','democrat'
'n','y','y','republican'
'y','y','n','democrat'
'y','y','y','republican'
'y','y','n','democrat'
'n','y','y','republican'
'n','y','y','republican'
'n','y','y','republican'
'n','y','y','republican'
'n','y','y','republican'
'y','y','n','democrat'
'n','y','y','republican'
'y','y','n','democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'y','y','y','republican'
'n','y','y','republican'
'n','y','y','republican'
'y',,'n','democrat'
'y','y','n','democrat'
'y','n','n','democrat'
'y','y','y','republican'
'y','y','n','democrat'
'y','n','y','republican'
'y','n','n','democrat'
'n','y','y','democrat'
'n','y','n','democrat'
'n','y','y','democrat'
'y','y','n','democrat'
'n','n','y','republican'
'y','n','n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'n',,'y','republican'
'n','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'n','y','n','democrat'
'n','n','y','republican'
'y','n','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'n','n','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'n','n','y','republican'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
,,,'democrat'
'y','y','n','democrat'
'n','y','y','republican'
'n',,,'republican'
'y',,'n','democrat'
'y',,'n','democrat'
'n','n','n','democrat'
'n',,'y','republican'
'n',,'n','democrat'
'n',,'y','republican'
'y',,'n','democrat'
'n',,'n','democrat'
'y','n','n','democrat'
'y','y','y','republican'
'n','y','n','democrat'
'n','n','y','republican'
'n',,'y','republican'
'n',,'y','republican'
'n','n','y','republican'
'y',,'y','republican'
'n',,'n','democrat'
'n',,'y','republican'
'n',,'y','republican'
'n',,'n','democrat'
'n',,'n','democrat'
,,'n','democrat'
'y',,'n','democrat'
'n','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'n','n','y','republican'
'n','n','y','republican'
'n','y','y','republican'
'n',,'n','democrat'
'n','n','n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'n','n','y','republican'
,'y','n','democrat'
'n',,'n','democrat'
'n','n','n','democrat'
'n','y','y','republican'
'n','n','n','democrat'
'n','y','y','republican'
'n','n','n','democrat'
'y','y','y','republican'
'y','y','y','democrat'
'n','y','n','democrat'
'n','n','n','democrat'
'n','y','y','republican'
'y','y','y','republican'
'y','y','y','republican'
'n','y','n','democrat'
'n','y','y','republican'
'n','y','n','democrat'
'n','y','n','democrat'
'n','n','n','democrat'
'n','y','n','democrat'
'n','y','y','republican'
'y','y','n','democrat'
'n','y','n','democrat'
'y','n','y','republican'
'y','n','y','republican'
'n','n','y','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'n',,'y','republican'
'n','y','n','democrat'
'n','n','n','democrat'
'y',,'n','democrat'
'n','y','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
,'n','n','democrat'
'y','n','n','democrat'
,,'n','democrat'
'n','n','n','democrat'
'y',,'n','democrat'
,,,'democrat'
'n','n','n','democrat'
'y','n','n','democrat'
'n','y','n','democrat'
'y','n','n','democrat'
'y',,'y','republican'
'y','n','n','democrat'
'n',,'y','republican'
'n','y','y','republican'
'n','n','n','democrat'
'n','n','n','democrat'
'n','n','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
'n',,'y','republican'
'n','n','n','democrat'
'y','y','n','democrat'
'n','n','n','democrat'
'y','y','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
'n','n','y','republican'
'y',,'y','republican'
'n','n','n','democrat'
'y','y','n','democrat'
'n','n','n','democrat'
'n','y','y','republican'
'n','n','n','democrat'
'n','y','n','democrat'
'y','y','y','republican'
'n','y','y','democrat'
'y','y','n','democrat'
'n','y','y','republican'
'y',,'n','democrat'
'n','y','n','democrat'
'n','n','n','democrat'
'n','y','n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'n','y','y','republican'
'n',,'y','republican'
'n','n','n','democrat'
'y','n','n','democrat'
'n','y','y','republican'
'n','y','y','republican'
'n','y','y','republican'
'n','y','y','republican'
'n','y','n','democrat'
'n','y','y','republican'
'n','n','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'y','n','n','democrat'
'n','n','n','republican'
'n','y','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'n','n','n','democrat'
'n','y','y','republican'
,,,'republican'
'y','n','n','democrat'
'n','y','y','republican'
'n','y','y','republican'
'y','y','n','democrat'
'n','y','y','republican'
'y','n','n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'n','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'y','n','n','republican'
'y','n','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'n','y','n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'y','n','y','republican'
'n','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'n','n','y','republican'
'n','n','y','republican'
'n','n','n','democrat'
'y','n','y','republican'
'y','n','y','republican'
'n','n','y','republican'
'n','n','n','democrat'
'n','n','n','democrat'
'n','n','n','democrat'
'y','y',,'democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'n','y','n','democrat'
'n','y','y','republican'
'n','n','y','republican'
'y','y','n','democrat'
'n','y','n','democrat'
'n','y','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'n','y','y','republican'
'n','n','y','republican'
'n','n','y','republican'
'y','n','n','democrat'
'n','n','y','republican'
'y','n','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
'y','y','n','democrat'
'n','y','y','republican'
'n','y','y','republican'
'n','y','y','republican'
'n','n','n','democrat'
'y','n','n','democrat'
'n','n','n','democrat'
'y','n','n','democrat'
'n','y','n','democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'n','y','y','republican'
'n','y','n','democrat'
'y','y','y','democrat'
'n','y','y','republican'
'y','y','n','democrat'
'y',,'n','democrat'
'n','y','y','republican'
'y',,'n','democrat'
'y','n','n','democrat'
'n','n','n','democrat'
'n','y','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
'y','n','n','democrat'
'y','n','n','democrat'
'y','n','y','republican'
'n','n','y','republican'
'n',,,'democrat'
'n','y','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'y','n','y','republican'
'y','n','n','democrat'
'n','y','y','republican'
'n','y','n','democrat'
'n','n','y','republican'
'n','y','y','democrat'
'n','n','y','republican'
'n','y','n','democrat'
'y','n','y','republican'
'n','n','y','republican'
'n','n','y','republican'
'y','y','n','democrat'
'n','n','y','republican'
'y','n','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'y','y','y','republican'
'y','y','y','republican'
'n','y','n','democrat'
'y','n','n','democrat'
'y','y','n','democrat'
'n','y','n','democrat'
'n','y','y','republican'
'y','y','n','democrat'
'y','y','n','democrat'
'n','y','y','democrat'
'n','y',,'democrat'
'n','y','y','republican'
'n','y','y','democrat'
'y',,'n','democrat'
'n','y','y','republican'
'n','n','y','republican'
'n','n','y','republican'
'y','y','n','democrat'
'y','y','n','democrat'
'y','y','y','democrat'
'y','y','n','democrat'
'y','y','y','democrat'
'y','y','n','democrat'
'n',,'n','democrat'
'y','y','n','democrat'
'n','y','y','democrat'
'y','n','n','democrat'
,,'n','democrat'
'y','y','n','democrat'
'y','y','y','republican'
,,,'republican'
'y','y',,'democrat'
'y','y',,'democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'n','y','n','democrat'
'n','y','y','republican'
'n','y','y','republican'
'n','y','y','republican'
,'n','y','republican'
'n','y','y','republican'
'y','y','y','republican'
'n','n','y','republican'
'y','n','n','democrat'
'n','n','y','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'n','n','y','republican'
'y','n','n','democrat'
'n','n','y','republican'
'y','y','y','republican'
'y','y','n','democrat'
'n','y','n','democrat'
'y','y','y','republican'
'y','y','n','democrat'
'y','y','n','democrat'
'y','y','n','democrat'
'y','y','y','republican'
'n','y','n','democrat'
'n','n','n','democrat'
'n','y','n','democrat'
'n','y','n','democrat'
'n','n','n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
,,'n','democrat'
'y','n','n','democrat'
'n','n','y','republican'
'n','n','n','democrat'
'n',,'y','republican'
'n','n','y','republican'
'n','y','y','republican'
